Progress,Duration (in seconds),Finished,Age_Range,Gender,Degree,Income,Employment,Job_Type,Industry_Manufacturing,Industry_Automobile,Industry_Construction,Technology_VR,Technology_AR,Technology_MR,Used,Use_Cases,Use_Cases_Other,Effective_Channel_LinkedIn,Effective_Channel_FB_IG,Effective_Channel_Google,Effective_Channel_YouTube,Effective_Channel_Trade_Show,Effective_Channel_Webinar,Effective_Channel_Phone_Email,Effective_Channel_Billboard,Effective_Channel_Magazine,Effective_Channel_Television,Effective_Channel_Radio,Effective_Channel_Website,Frequent_Channel_LinkedIn,Frequent_Channel__FB_IG,Frequent_Channel_Twitter,Frequent_Channel_Google,Frequent_Channel_YouTube,Frequent_Channel_Blogs,Frequent_Channel_Press,Previous_Channel,Previous_Channel_Other,Acquisition_Channel_Website,Acquisition_Channel_Online,Acquisition_Channel_Cloud_Marketplace,Acquisition_Channel_Distributor,Acquisition_Channel_SI_Consultant,Acquisition_Channel_Retail
100,220,True,41-56,Male,Graduate degree or higher,> $250k,Employed full-time,White collar,No,No,No,3 - Somewhat familiar,3 - Somewhat familiar,3 - Somewhat familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",Mixed Reality,,1 - Not effective at all,1 - Not effective at all,7 - Most Effective,1 - Not effective at all,Extremely effective,Moderately effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,7 - Most Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,Moderately frequent,Slightly frequent,1 - Not frequent at all,Google Search,,Prefer a lot,Prefer a lot,Prefer a lot,Prefer slightly,Prefer slightly,Do not prefer
100,142,True,31-40,Female,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,No,No,No,5 - Familiar,5 - Familiar,5 - Familiar,Pokemon Go,Mixed Reality,,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Frequent,Frequent,Frequent,Frequent,Frequent,Frequent,Frequent,Twitter,,Prefer a lot,Prefer a lot,Prefer a lot,Prefer a lot,Prefer a lot,Prefer a lot
100,179,True,25-30,Male,High school graduate or equivalent (GED),< $50k,Employed full-time,Blue collar,Yes,No,Yes,5 - Familiar,5 - Familiar,4 - Moderately familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR",Virtual Reality,,Effective,Moderately effective,Moderately effective,Moderately effective,Slightly effective,Effective,Moderately effective,Effective,Moderately effective,Moderately effective,Moderately effective,Effective,Moderately frequent,Frequent,Moderately frequent,Extremely frequent,Slightly frequent,Slightly frequent,Slightly frequent,"LinkedIn,Facebook / Instagram,Google Search,Blog (e.g., Medium)",,Prefer a lot,Prefer a moderate amount,Prefer a moderate amount,Prefer a moderate amount,Prefer a moderate amount,Prefer a moderate amount
100,314,True,< 24,Female,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,White collar,No,No,No,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,,"Virtual Reality,Mixed Reality",,Effective,Slightly effective,Very Effective,Effective,1 - Not effective at all,Very Effective,Very Effective,Slightly effective,1 - Not effective at all,Slightly effective,Slightly effective,Very Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Extremely frequent,1 - Not frequent at all,Slightly frequent,Very frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a moderate amount,Prefer a moderate amount,Do not prefer,Prefer slightly,Do not prefer,Prefer a lot
100,133,True,< 24,Male,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,Yes,No,No,7 - Extremely familiar,3 - Somewhat familiar,4 - Moderately familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go)",Virtual Reality,,Slightly effective,Slightly effective,Extremely effective,Very Effective,Effective,1 - Not effective at all,Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,Frequent,1 - Not frequent at all,Slightly frequent,"Google Search,YouTube",,Prefer slightly,Prefer a moderate amount,Prefer a moderate amount,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount
100,187,True,25-30,Male,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,Blue collar,No,No,Yes,5 - Familiar,6 - Very familiar,4 - Moderately familiar,"Pokemon Go,Smartphone VR","Virtual Reality,Augmented Reality,Mixed Reality",,Slightly effective,1 - Not effective at all,Effective,Moderately effective,7 - Most Effective,Extremely effective,7 - Most Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Extremely effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,Extremely frequent,Very frequent,1 - Not frequent at all,"Google Search,YouTube,Blog (e.g., Medium)",,Prefer a lot,Prefer slightly,Prefer slightly,Prefer a great deal,Prefer a great deal,Prefer a lot
100,157,True,31-40,Male,Bachelor’s degree or equivalent,$50k - $100k,Unemployed,Neither,No,No,No,6 - Very familiar,6 - Very familiar,6 - Very familiar,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Smartphone VR",,,Very Effective,1 - Not effective at all,Very Effective,Effective,Effective,Effective,Slightly effective,1 - Not effective at all,Slightly effective,Slightly effective,Effective,Effective,Moderately frequent,1 - Not frequent at all,Moderately frequent,Very frequent,Frequent,Moderately frequent,Moderately frequent,YouTube,,Prefer slightly,Prefer a moderate amount,Do not prefer,Do not prefer,Do not prefer,Prefer a lot
100,318,True,25-30,Male,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,Both,Yes,No,No,5 - Familiar,5 - Familiar,3 - Somewhat familiar,Pokemon Go,"Virtual Reality,Augmented Reality",,Slightly effective,1 - Not effective at all,Very Effective,Very Effective,Extremely effective,Effective,Moderately effective,1 - Not effective at all,Slightly effective,Slightly effective,Moderately effective,Very Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,Frequent,1 - Not frequent at all,Slightly frequent,"Google Search,YouTube",,Prefer a moderate amount,Prefer a moderate amount,Prefer slightly,Prefer slightly,Prefer slightly,Prefer slightly
100,153,True,< 24,Male,High school graduate or equivalent (GED),< $50k,Employed full-time,Neither,Yes,No,No,2 - Slightly familiar,2 - Slightly familiar,1- Not familiar at all,Pokemon Go,,,7 - Most Effective,Effective,Effective,Moderately effective,Moderately effective,Moderately effective,Effective,Effective,Effective,Effective,Effective,Effective,1 - Not frequent at all,Frequent,Frequent,Frequent,Frequent,1 - Not frequent at all,1 - Not frequent at all,"Twitter,Google Search",,Prefer a great deal,Prefer a lot,Do not prefer,Do not prefer,Do not prefer,Prefer a moderate amount
100,194,True,31-40,Male,High school graduate or equivalent (GED),< $50k,Employed full-time,Neither,No,No,Yes,4 - Moderately familiar,4 - Moderately familiar,4 - Moderately familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR",,,1 - Not effective at all,1 - Not effective at all,Very Effective,Very Effective,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Extremely frequent,Very frequent,1 - Not frequent at all,1 - Not frequent at all,"Google Search,YouTube",,Prefer slightly,Prefer a lot,Do not prefer,Prefer a moderate amount,Do not prefer,Prefer slightly
