StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q11,Q12,Q12_4_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15,Q15_8_TEXT,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q17,Q18
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age range?,What is your gender?,What is the highest degree you have completed?,What is your household income?,What is your employment status?,What would you consider yourself to be?,Are you in the manufacturing industry?,Are you in the automobile industry?,Are you in the construction industry?,Rate how familiar you are with the following technology? - Virtual Reality,Rate how familiar you are with the following technology? - Augmented Reality,Rate how familiar you are with the following technology? - Mixed Reality,Have you used any of the following (Check all that applies):,"Thinking about your workplace, can you see any of the following technologies having potential use cases? (Check all the applies) - Selected Choice","Thinking about your workplace, can you see any of the following technologies having potential use cases? (Check all the applies) - Others - Text","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - LinkedIn","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - Facebook / Instagram","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - Google","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - YouTube","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - Trade Shows","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - Webinars","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - Phone Calls / Emails","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - Out-of-home / Billboards","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - Magazines Ads","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - Television Ads","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - Radio / Podcast Ads","If you are looking for certain products that could assist you in projects for your business/workplace, which of the following channels do you think would be most effective in finding you what you want: - Company’s Websites (AWS, Azure, Google Cloud Marketplace)","If you are looking for certain products that could assist you in projects for your business/workplace, what platforms do you use most frequently when searching for products/solutions? - LinkedIn","If you are looking for certain products that could assist you in projects for your business/workplace, what platforms do you use most frequently when searching for products/solutions? - Facebook / Instagram","If you are looking for certain products that could assist you in projects for your business/workplace, what platforms do you use most frequently when searching for products/solutions? - Twitter","If you are looking for certain products that could assist you in projects for your business/workplace, what platforms do you use most frequently when searching for products/solutions? - Google Search","If you are looking for certain products that could assist you in projects for your business/workplace, what platforms do you use most frequently when searching for products/solutions? - YouTube","If you are looking for certain products that could assist you in projects for your business/workplace, what platforms do you use most frequently when searching for products/solutions? - Blogs (e.g., Medium)","If you are looking for certain products that could assist you in projects for your business/workplace, what platforms do you use most frequently when searching for products/solutions? - Press / Online Newspaper (e.g., TechCrunch, Forbes)",Have you used any of the following platforms previously to search for products/solutions for your business/workplace? (Check all that applies) - Selected Choice,Have you used any of the following platforms previously to search for products/solutions for your business/workplace? (Check all that applies) - Others - Text,"When it comes to high tech or software products, which of the follow channels do you prefer to acquire the products from? - Company Websites / Store","When it comes to high tech or software products, which of the follow channels do you prefer to acquire the products from? - Consumer Online Store (e.g., Amazon)","When it comes to high tech or software products, which of the follow channels do you prefer to acquire the products from? - Cloud Marketplace (e.g., AWS, Azure, Google Cloud Platform Marketplaces)","When it comes to high tech or software products, which of the follow channels do you prefer to acquire the products from? - Distributor","When it comes to high tech or software products, which of the follow channels do you prefer to acquire the products from? - System Integrator / Consultant","When it comes to high tech or software products, which of the follow channels do you prefer to acquire the products from? - Brick & Mortar Retailer (e.g. Best Buy)",Do you use Prolifics?,What is your Prolific ID?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID13_10""}","{""ImportId"":""QID13_11""}","{""ImportId"":""QID13_12""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID16_12""}","{""ImportId"":""QID16_16""}","{""ImportId"":""QID16_17""}","{""ImportId"":""QID16_18""}","{""ImportId"":""QID16_19""}","{""ImportId"":""QID16_20""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}"
2021-11-08 22:39:43,2021-11-08 22:43:24,IP Address,47.156.18.11,100,220,True,2021-11-08 22:43:24,R_1CJUvJwmpTx6H3S,,,,,34.0308074951171875,-118.47299957275390625,anonymous,EN,41-56,Male,Graduate degree or higher,More than $250K,Employed full-time,White collar,No,No,No,3 - Somewhat familiar,3 - Somewhat familiar,3 - Somewhat familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",Mixed Reality,,1 - Not effective at all,1 - Not effective at all,7 - Most Effective,1 - Not effective at all,Extremely effective,Moderately effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,7 - Most Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,Moderately frequent,Slightly frequent,1 - Not frequent at all,Google Search,,Prefer a lot,Prefer a lot,Prefer a lot,Prefer slightly,Prefer slightly,Do not prefer,No,
2021-11-08 22:44:57,2021-11-08 22:47:20,Survey Preview,,100,142,True,2021-11-08 22:47:20,R_1mXzf5mCdf8QIlF,,,,,37.3177032470703125,-122.04380035400390625,preview,EN,31-40,Female,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,No,No,No,5 - Familiar,5 - Familiar,5 - Familiar,Pokemon Go,Mixed Reality,,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Effective,Frequent,Frequent,Frequent,Frequent,Frequent,Frequent,Frequent,Twitter,,Prefer a lot,Prefer a lot,Prefer a lot,Prefer a lot,Prefer a lot,Prefer a lot,No,
2021-11-09 12:18:46,2021-11-09 12:21:45,IP Address,166.216.159.70,100,179,True,2021-11-09 12:21:46,R_3F57z9wbpt4lBoQ,,,,,42.4651947021484375,-83.37129974365234375,anonymous,EN,25-30,Male,High school graduate or equivalent (GED),Below 50k,Employed full-time,Blue collar,Yes,No,Yes,5 - Familiar,5 - Familiar,4 - Moderately familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR",Virtual Reality,,Effective,Moderately effective,Moderately effective,Moderately effective,Slightly effective,Effective,Moderately effective,Effective,Moderately effective,Moderately effective,Moderately effective,Effective,Moderately frequent,Frequent,Moderately frequent,Extremely frequent,Slightly frequent,Slightly frequent,Slightly frequent,"LinkedIn,Facebook / Instagram,Google Search,Blog (e.g., Medium)",,Prefer a lot,Prefer a moderate amount,Prefer a moderate amount,Prefer a moderate amount,Prefer a moderate amount,Prefer a moderate amount,Yes,5e2878ae4b6c4704c10fe471
2021-11-09 14:56:34,2021-11-09 15:01:49,IP Address,100.34.29.148,100,314,True,2021-11-09 15:01:50,R_OEl8SA5Q5YCFaqB,,,,,39.97760009765625,-75.30989837646484375,anonymous,EN,24 and Under,Female,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,White collar,No,No,No,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,,"Virtual Reality,Mixed Reality",,Effective,Slightly effective,Very Effective,Effective,1 - Not effective at all,Very Effective,Very Effective,Slightly effective,1 - Not effective at all,Slightly effective,Slightly effective,Very Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Extremely frequent,1 - Not frequent at all,Slightly frequent,Very frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a moderate amount,Prefer a moderate amount,Do not prefer,Prefer slightly,Do not prefer,Prefer a lot,Yes,61005d2a07743d7e63d2a81f
2021-11-09 15:18:08,2021-11-09 15:20:22,IP Address,174.199.43.53,100,133,True,2021-11-09 15:20:22,R_udH5rgLsLJcxZvz,,,,,44.9618072509765625,-93.26380157470703125,anonymous,EN,24 and Under,Male,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,Yes,No,No,7 - Extremely familiar,3 - Somewhat familiar,4 - Moderately familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go)",Virtual Reality,,Slightly effective,Slightly effective,Extremely effective,Very Effective,Effective,1 - Not effective at all,Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,Frequent,1 - Not frequent at all,Slightly frequent,"Google Search,YouTube",,Prefer slightly,Prefer a moderate amount,Prefer a moderate amount,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Yes,61089b576b1357d4cec4a557
2021-11-09 15:31:32,2021-11-09 15:34:39,IP Address,162.219.229.62,100,187,True,2021-11-09 15:34:40,R_vBSQFzvHbPBtpnP,,,,,44.9427032470703125,-93.28710174560546875,anonymous,EN,25-30,Male,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,Blue collar,No,No,Yes,5 - Familiar,6 - Very familiar,4 - Moderately familiar,"Pokemon Go,Smartphone VR","Virtual Reality,Augmented Reality,Mixed Reality",,Slightly effective,1 - Not effective at all,Effective,Moderately effective,7 - Most Effective,Extremely effective,7 - Most Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Extremely effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,Extremely frequent,Very frequent,1 - Not frequent at all,"Google Search,YouTube,Blog (e.g., Medium)",,Prefer a lot,Prefer slightly,Prefer slightly,Prefer a great deal,Prefer a great deal,Prefer a lot,Yes,57a44085baec1b00016991c4
2021-11-09 15:59:35,2021-11-09 16:02:13,IP Address,24.229.214.127,100,157,True,2021-11-09 16:02:13,R_3JmD3Pn9oUIlR50,,,,,40.1558074951171875,-76.79669952392578125,anonymous,EN,31-40,Male,Bachelor’s degree or equivalent,$50k - $100k,Unemployed,Neither,No,No,No,6 - Very familiar,6 - Very familiar,6 - Very familiar,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Smartphone VR",,,Very Effective,1 - Not effective at all,Very Effective,Effective,Effective,Effective,Slightly effective,1 - Not effective at all,Slightly effective,Slightly effective,Effective,Effective,Moderately frequent,1 - Not frequent at all,Moderately frequent,Very frequent,Frequent,Moderately frequent,Moderately frequent,YouTube,,Prefer slightly,Prefer a moderate amount,Do not prefer,Do not prefer,Do not prefer,Prefer a lot,No,
2021-11-09 16:17:58,2021-11-09 16:23:17,IP Address,24.206.180.85,100,318,True,2021-11-09 16:23:17,R_AuoMQwYJWIxPvNv,,,,,35.09869384765625,-77.10449981689453125,anonymous,EN,25-30,Male,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,Both,Yes,No,No,5 - Familiar,5 - Familiar,3 - Somewhat familiar,Pokemon Go,"Virtual Reality,Augmented Reality",,Slightly effective,1 - Not effective at all,Very Effective,Very Effective,Extremely effective,Effective,Moderately effective,1 - Not effective at all,Slightly effective,Slightly effective,Moderately effective,Very Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,Frequent,1 - Not frequent at all,Slightly frequent,"Google Search,YouTube",,Prefer a moderate amount,Prefer a moderate amount,Prefer slightly,Prefer slightly,Prefer slightly,Prefer slightly,Yes,5c02f544e6eafc0001f6d37b
